
time="2023-04-15 15:19:52" level=info msg="this is  日志"
time="2023-04-15 15:21:35" level=info msg="this is  日志"
time="2023-04-15 15:22:00" level=info msg="| 200 |    2.446725ms |  192.168.96.128 | GET | /im"
time="2023-04-15 15:22:11" level=info msg="| 200 |     2.15152ms |  192.168.96.128 | GET | /airborne"
time="2023-04-15 15:22:12" level=info msg="| 200 |    3.159412ms |  192.168.96.128 | GET | /im"
time="2023-04-15 15:22:15" level=info msg="| 200 |  1.448611623s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-15 15:22:20" level=info msg="| 200 |   4.62922112s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-15 15:22:23" level=info msg="| 200 |    2.266093ms |  192.168.96.128 | GET | /airborne"
time="2023-04-15 15:27:03" level=info msg="this is  日志"
time="2023-04-15 15:27:46" level=info msg="this is  日志"
time="2023-04-15 15:28:03" level=info msg="this is  日志"
time="2023-04-15 15:31:54" level=info msg="this is  日志"
time="2023-04-15 16:31:23" level=info msg="| 200 |    3.279141ms |  192.168.96.128 | GET | /im"
time="2023-04-15 16:31:26" level=info msg="| 200 |  401.625332ms |  192.168.96.128 | POST | /im/line"
time="2023-04-15 16:33:50" level=info msg="| 200 |  593.960975ms |  192.168.96.128 | GET | /aliyun"
time="2023-04-15 16:33:51" level=info msg="| 200 |    2.653602ms |  192.168.96.128 | GET | /im"
time="2023-04-15 16:33:59" level=info msg="| 200 |    1.833936ms |  192.168.96.128 | GET | /airborne"
time="2023-04-15 16:34:02" level=info msg="| 200 |     6.51164ms |  192.168.96.128 | GET | /im"
time="2023-04-15 16:34:03" level=info msg="| 200 |    1.935048ms |  192.168.96.128 | GET | /airborne"
time="2023-04-15 16:34:05" level=info msg="| 200 |  1.409432234s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-15 16:34:13" level=info msg="| 200 |  4.527432992s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-15 16:34:23" level=info msg="| 200 |  1.361957742s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-15 16:34:27" level=info msg="| 200 |  4.214654958s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-15 16:34:30" level=info msg="| 200 |  647.291615ms |  192.168.96.128 | GET | /cloudflare/dns/1furl.cn"
time="2023-04-15 16:34:35" level=info msg="| 200 |  652.122743ms |  192.168.96.128 | GET | /cloudflare/dns/542013d.com"
time="2023-04-15 16:44:36" level=info msg="| 200 |   695.50533ms |  192.168.96.128 | GET | /aliyun"
time="2023-04-15 16:45:08" level=info msg="| 200 |  507.058811ms |  192.168.96.128 | GET | /aliyun"
time="2023-04-15 16:45:11" level=info msg="| 200 |  244.386824ms |  192.168.96.128 | GET | /aliyun"
time="2023-04-15 16:45:15" level=info msg="| 200 |   315.24964ms |  192.168.96.128 | GET | /aliyun"
time="2023-04-15 16:45:29" level=info msg="| 200 |    2.697149ms |  192.168.96.128 | GET | /system/user"
time="2023-04-15 16:45:31" level=info msg="| 200 |  1.482786803s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-15 16:46:48" level=info msg="| 200 |  1.388952071s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-15 16:47:08" level=info msg="| 200 |  1.340220314s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-15 16:50:13" level=info msg="| 200 |  1.517518919s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-15 16:51:12" level=info msg="| 200 |  1.686109897s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-04"
time="2023-04-15 16:51:13" level=info msg="| 200 |   1.78239505s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-03"
time="2023-04-15 16:51:13" level=info msg="| 200 |  1.691438463s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-05"
time="2023-04-15 16:51:14" level=info msg="| 200 |  1.397736502s |  192.168.96.128 | GET | /asiacloud/vhost/my101-tcp-site-01"
time="2023-04-15 16:51:15" level=info msg="| 200 |  1.594465056s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-04"
time="2023-04-15 16:51:16" level=info msg="| 200 |  1.793171716s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-03"
time="2023-04-15 16:52:29" level=info msg="| 200 |  1.343787726s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-15 16:52:53" level=info msg="| 200 |  4.495080705s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-15 16:57:42" level=info msg="| 200 |  1.333487894s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-15 16:57:44" level=info msg="| 200 |  640.609413ms |  192.168.96.128 | GET | /aliyun"
time="2023-04-15 16:57:50" level=info msg="| 200 |  4.493363284s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-15 16:58:03" level=info msg="| 200 |  1.401732421s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-15 16:58:05" level=info msg="| 200 |    5.196768ms |  192.168.96.128 | GET | /airborne"
